ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
FutunaWest,FutunaWest,,-19.5303,170.215,futu1245,,,Futuna-Aniwa
Gaddang,Gaddang,,16.5468,121.177,gadd1244,,,Gaddang
Gapapaiwa,Gapapaiwa,,-9.73317,149.854,gapa1238,,,Gapapaiwa
GauraNggaura,GauraNggaura,,-9.6373,119.114,kodi1247,,,Kodi
Gayo,Gayo,,4.3733,97.3456,gayo1244,,,Gayo
Gedaged,Gedaged,,-5.18175,145.781,geda1237,,,Gedaged
Geser,Geser,,-3.8016,130.701,gese1240,,,Geser-Gorom
GhariGuadalcanal,GhariGuadalcanal,,-9.4791,159.917,ghar1239,,,Ghari
Giman,Giman,,-0.42618,127.976,gane1237,,,Gane
GorontaloHulondalo,GorontaloHulondalo,,0.62689,122.288,goro1259,,,Gorontalo
HainanCham,HainanCham,,18.3192,109.336,tsat1238,,,Tsat
Hanunoo,Hanunoo,,12.4159,121.221,hanu1241,,xd745,Hanunoo
Hawaiian,Hawaiian,,19.6297,-155.43,hawa1245,,xd895,Hawaiian
HituAmbon,HituAmbon,,-3.57478,128.186,hitu1239,,xd761,Hitu
HoavaNewGeorgia,HoavaNewGeorgia,,-8.19679,157.595,hoav1238,,,Hoava
Iaai,Iaai,,-20.6301,166.59,iaai1238,,,Iaai
Iban,Iban,,2.09041,112.934,iban1264,,xd750,Iban
Ibanag,Ibanag,,17.4201,121.891,iban1267,,,Ibanag
Idaan,Idaan,,5.29059,118.515,idaa1241,,,Ida'an
IfiraMeleMeleFila,IfiraMeleMeleFila,,-17.6841,168.275,mele1250,,,Mele-Fila
IfugaoAmganad,IfugaoAmganad,,16.9016,121.042,amga1235,,,Amganad Ifugao
IfugaoBatad,IfugaoBatad,,16.8266,121.23,bata1298,,xd743,Batad Ifugao
IfugaoBayninan,IfugaoBayninan,,16.7099,121.035,kele1259,,,Keley-i Kallahan
Iliun,Iliun,,-7.84385,125.902,iliu1237,,,Ili'uun
Ilokano,Ilokano,,15.9361,120.993,ilok1237,,,Iloko
