ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Tetum,Tetum,,-8.58405,125.583,tetu1246,,,Tetun Dili
Teun,Teun,,-6.97086,129.143718,teun1241,,,Te'un
Thao,Thao,,23.8333,120.93,thao1240,,,Thao
Tiang,Tiang,,-2.95505,150.935,tian1237,,,Tiang
Tigak,Tigak,,-2.70951,150.893,tiga1245,,,Tigak
Tikopia,Tikopia,,-12.2766,168.822,tiko1237,,xd881,Tikopia
TimugonMurut,TimugonMurut,,5.1796,115.826,timu1262,,,Timugon Murut
Toambaita,Toambaita,,-8.39233,160.619,toab1237,,,To'abaita
TobaBatak,TobaBatak,,2.35498,99.1761,bata1289,,xd753,Batak Toba
Tokelau,Tokelau,,-9.227642,-171.780833,toke1240,,xd885,Tokelau
Tolo,Tolo,,-9.76764,160.231,tali1259,,,Talise
Tongan,Tongan,,-21.17,-175.25,tong1325,,xd878,Tonga (Tonga Islands)
Tontemboan,Tontemboan,,1.24813,124.654,tont1239,,,Tontemboan
Tsou,Tsou,,23.216,120.787,tsou1248,,,Tsou
Tuamotu,Tuamotu,,-16.17259,-146.321755,tuam1242,,xd894,Tuamotuan
Tugun,Tugun,,-7.72555,126.7,tugu1245,,,Tugun
TungagTungakLavongai,TungagTungakLavongai,,-2.52188,150.198,tung1290,,,Tungag
Tunjung,Tunjung,,-0.29048,115.883,tunj1244,,,Tunjung
Tuvalu,Tuvalu,,-8.520813,179.198088,tuva1244,,xd883,Tuvalu
Ubir,Ubir,,-9.59044,149.396,ubir1237,,,Ubir
UjirNAru,UjirNAru,,-5.69329,134.257,ujir1237,,,Ujir
Ura,Ura,,-18.6747,169.084,urav1235,,,Ura (Vanuatu)
UveaEast,UveaEast,,-13.2903,-176.207,wall1257,,,East Uvean
UveaWest,UveaWest,,-20.4145,166.589,west2516,,,West Uvean
VaeakauTaumako,VaeakauTaumako,,-10.173335,166.247188,pile1238,,,Vaeakau-Taumako
VaghuaChoiseul,VaghuaChoiseul,,-6.68712,156.542,vagh1249,,xd844,Vaghua
Vano,Vano,,-11.6107,166.7984,vano1237,,,Lovono
Varisi,Varisi,,-6.83443,156.655,vari1239,,,Varisi
Vitu,Vitu,,-4.69751,149.489,mudu1242,,xd849,Muduapa
WBukidnonManobo,WBukidnonManobo,,7.6682,124.825,west2555,,xd738,Western Bukidnon Manobo
Wanukaka,Wanukaka,,-9.69834,119.468,wanu1241,,,Wanukaka
Waropen,Waropen,,-2.31142,136.633,waro1242,,xd820,Waropen
Watubela,Watubela,,-4.47294,131.641,watu1247,,,Watubela
WejewaTanaRighu_D,WejewaTanaRighu_D,,-9.55099,119.349,weje1237,,,Wewewa
Werinama,Werinama,,-3.43514,130.179,bobo1254,,,Bobot
WindesiWandamen,WindesiWandamen,,-2.25622,133.996,wand1267,,,Wandamen
Wogeo,Wogeo,,-3.20238,144.089,woge1237,,xd818,Wogeo
Woleai,Woleai,,7.37957,143.916,wole1240,,xd835,Woleaian
Woleaian,Woleaian,,7.37957,143.916,wole1240,,xd831,Woleaian
Wolio,Wolio,,-5.33,122.67,woli1241,,,Wolio
Wuna,Wuna,,-5.40419,122.541,muna1247,,,Muna
Wuvulu,Wuvulu,,-1.73938,142.851,wuvu1239,,xd845,Wuvulu-Aua
Yakan,Yakan,,6.531023,122.021729,yaka1277,,,Yakan
Yamdena,Yamdena,,-7.73722,131.44,yamd1240,,,Yamdena
Yami,Yami,,22.055,121.544,yami1254,,xd737,Yami
